
    Row    Instance         XX         YY         ZZ         TT         TY 

       80         0          0          0          0          0          0 
       80         1  7.883e-05  0.0042093  0.0001106  0.0702493          1 
       80         2  0.0002611  0.0043854  4.799e-05  0.0887143          1 
       80         3  7.830e-05  0.0047180  4.575e-05  0.1273279          1 
       80         4  0.0005938  0.0053177  -0.000349  0.2428512          1 
       80         5  0.0003120  0.0045527  0.0001470  0.1331414          4 
       80         6  0.0001993  0.0045303  2.149e-05  0.1198863          4 
       80         7  7.922e-05  0.0048667  0.0001306  0.1400845          4 
       80         8  0.0003790  0.0047130  7.432e-05  0.1428688          4 
       80         9  6.931e-05  0.0046923  0.0002803  0.1509383          4 
       80        10  0.0001726  0.0048306  0.0001686  0.1922423          4 
       80        11  7.079e-05  0.0048269  0.0002457  0.1553678          4 
       80        12  0.0001595  0.0050104  -0.000140  0.1820141          4 
       80        13  0.0006370  0.0048066  -0.000140  0.2044577          4 
       80        14  0.0003677  0.0049329  0.0001218  0.2326349          4 
       80        15  0.0001244  0.0051527  -0.000270  0.2006534          4 
       80        16  0.0004838  0.0050059  -2.07e-05  0.2289731          4 
       80        17  0.0003205  0.0051146  0.0001831  0.2447397          4 
       80        18  0.0003483  0.0049087  0.0002587  0.2056689          4 
       80        19  0.0001659  0.0052730  0.0002120  0.2580236          4 
       80        20  0.0004952  0.0050117  0.0001707  0.2370679          4 
       80        21  0.0006001  0.0051708  -5.24e-05  0.2694824          4 
       80        22  0.0002314  0.0054020  0.0001343  0.2925872          4 
       80        23  0.0005315  0.0055021  -0.000293  0.2846280          4 
       80        24  0.0004798  0.0054757  -0.000148  0.2858800          4 
       80        25  0.0002878  0.0055557  0.0002562  0.3080949          4 
       80        26  0.0002923  0.0052274  1.188e-05  0.3017863          4 
       80        27  0.0004893  0.0056395  1.359e-05  0.3004882          4 
       80        28  0.0007842  0.0053029  -0.000240  0.3189691          4 
       80        29  0.0003026  0.0054299  0.0001151  0.3224988          4 
       80        30  0.0005690  0.0056919  -0.000514  0.3132876          4 
       80        31  0.0006118  0.0058179  0.0001168  0.3275679          4 
       80        32  0.0002835  0.0055553  9.919e-05  0.3343674          4 
       80        33  0.0004427  0.0059847  5.555e-06  0.3724592          4 
       80        34  0.0010679  0.0054153  -0.000265  0.3615974          4 
       80        35  0.0002969  0.0057030  0.0004390  0.3979476          4 
       80        36  0.0001006  0.0058734  0.0003202  0.4177799          4 
       80        37  0.0002042  0.0057744  0.0001464  0.3807717          4 
       80        38  0.0007242  0.0058050  -0.000405  0.3944262          4 
       80        39  0.0004597  0.0061364  -9.18e-05  0.4174185          4 
       80        40  0.0010143  0.0055891  -0.000526  0.4057502          4 
       80        41  0.0005901  0.0063099  -0.000128  0.4397444          4 
       80        42  0.0004153  0.0060290  0.0001577  0.4637019          4 
       80        43  0.0001069  0.0059099  -1.30e-05  0.4192402          4 
       80        44  0.0009764  0.0059290  -0.000623  0.4591308          4 
       80        45  0.0005085  0.0065061  -0.000120  0.4602260          4 
       80        46  0.0011146  0.0057393  -0.000434  0.4689658          4 
       80        47  0.0007858  0.0060878  0.0001305  0.4800012          4 
       80        48  9.336e-05  0.0060991  -0.000224  0.4444410          4 
       80        49  0.0007926  0.0061415  -0.000439  0.4831447          4 
       80        50  0.0008607  0.0062488  0.0003109  0.5069283          4 
       80        51  0.0007868  0.0063085  -0.000490  0.5065968          4 
       80        52  0.0001113  0.0066953  -0.000200  0.5069056          4 
       80        53  0.0009651  0.0059466  -0.000369  0.5006550          4 
       80        54  -0.000241  0.0068450  -0.000231  0.5473794          4 
       80        55  0.0008361  0.0064357  0.0003917  0.5586233          4 
       80        56  4.140e-05  0.0062985  -0.000245  0.5140199          4 
       80        57  0.0006816  0.0065691  -0.000661  0.5738076          4 
       80        58  0.0007949  0.0061805  -0.000401  0.5411019          4 
       80        59  0.0007570  0.0063488  -0.000305  0.5543118          4 
       80        60  0.0008138  0.0066299  0.0006250  0.5950918          4 
       80        61  0.0006081  0.0066956  -0.000727  0.6020445          4 
       80        62  -0.000701  0.0070385  -0.000295  0.6324117          4 
       80        63  0.0008501  0.0065098  -0.000328  0.5852620          4 
       80        64  -3.65e-05  0.0064936  -0.000540  0.5834302          4 
       80        65  -0.000700  0.0072198  -0.000472  0.6605557          4 
       80        66  0.0009929  0.0067978  -0.000478  0.6760753          4 
       80        67  0.0009653  0.0066788  -0.000491  0.6180778          4 
       80        68  0.0012044  0.0069501  -0.000501  0.7253419          4 
       80        69  0.0010094  0.0067983  -0.000418  0.7272698          4 
       80        70  -0.000189  0.0066766  -0.000209  0.6659377          4 
       80        71  -7.97e-05  0.0068020  -0.000162  0.7023203          4 
       80        72  0.0015540  0.0071113  -0.000598  0.7635198          4 
       80        73  -0.000746  0.0074033  -0.000267  0.7633504          4 
       80        74  7.880e-05  0.0070427  -0.000138  0.7191088          4 
       80        75  -0.000642  0.0076376  -0.000565  0.8036274          4 
       80        76  0.0012763  0.0069035  -0.000536  0.8447099          4 
       80        77  0.0013873  0.0073429  -0.000443  0.8550856          4 
       80        78  0.0010008  0.0068355  -0.000271  0.7984086          4 
       80        79  0.0008210  0.0070594  -5.77e-05  0.8330863          4 
       80        80  0.0012937  0.0071329  -0.000463  0.9048760          4 
       80        81  -3.90e-05  0.0072413  -0.000395  0.8363181          4 
       80        82  -0.000609  0.0078906  -0.000463  0.8683661          4 
       80        83  0.0012257  0.0075771  -0.000466  0.9762941          4 
       80        84  -0.000326  0.0073922  -0.000461  0.9355902          4 
       80        85  0.0012640  0.0077731  -0.000599  0.9955586          4 
       80        86  0.0007725  0.0072912  4.594e-05  0.9521261          4 
       80        87  0.0018006  0.0072248  -0.000558  1.0196338          4 
       80        88  -0.000815  0.0080301  -0.000743  0.9991118          4 
       80        89  -0.000384  0.0075865  -0.000324  1.0094209          4 
       80        90  0.0012791  0.0080124  -0.000342  1.0654225          4 
       80        91  0.0017693  0.0074178  -0.000774  1.0810325          4 
       80        92  -0.000813  0.0082576  -0.000825  1.0396508          4 
       80        93  0.0008608  0.0074738  -0.000127  1.0301965          4 
       80        94  0.0018686  0.0076483  -0.000867  1.1325402          4 
       80        95  0.0008120  0.0076981  -0.000457  1.0759829          4 
       80        96  0.0013766  0.0082284  -0.000549  1.1828837          4 
       80        97  -0.000832  0.0084738  -0.001339  1.1476202          4 
       80        98  0.0020411  0.0078470  -0.000776  1.2198154          4 
       80        99  -0.000487  0.0078238  -0.000697  1.2910454          4 
       80       100  0.0010294  0.0085305  -0.000714  1.2497527          4 
       80       101  0.0006667  0.0079684  -0.000451  1.2332298          4 
       80       102  0.0014224  0.0081951  -0.000810  1.3520276          4 
       80       103  -0.000426  0.0080516  -0.000584  1.3193372          4 
       80       104  0.0013236  0.0087973  -0.000506  1.3559761          4 
       80       105  -0.000617  0.0087264  -0.001413  1.3273807          4 
       80       106  0.0007309  0.0082234  -0.000422  1.2780803          4 
       80       107  0.0012744  0.0090592  -0.000890  1.4212193          4 
       80       108  0.0009955  0.0085006  -0.001009  1.5107039          4 
       80       109  -0.000952  0.0082609  -0.000625  1.4594515          4 
       80       110  -0.000628  0.0089503  -0.001732  1.4031543          4 
       80       111  0.0007777  0.0088357  -0.001087  1.5585088          4 
       80       112  -0.000571  0.0085182  -0.000379  1.5961685          4 
       80       113  0.0011693  0.0094383  -0.001109  1.5955054          4 
       80       114  -0.001133  0.0092937  -0.001097  1.5241289          4 
       80       115  -0.000545  0.0087201  -0.000388  1.6408925          4 
       80       116  0.0011111  0.0097339  -0.001366  1.6357206          4 
       80       117  -0.001091  0.0095531  -0.001194  1.5749247          4 
       80       118  0.0007476  0.0084885  3.311e-05  1.6262134          4 
       80       119  0.0004028  0.0090265  -0.000736  1.8199341          4 
       80       120  -0.000318  0.0090191  -0.000379  1.6730176          4 
       80       121  0.0005207  0.0086942  7.020e-05  1.6690725          4 
       80       122  0.0001198  0.0092645  -0.000752  1.8622822          4 
       80       123  0.0012406  0.0099760  -0.001700  1.9395583          4 
       80       124  0.0003335  0.0089421  0.0002566  1.7299788          4 
       80       125  0.0015028  0.0102619  -0.001641  2.0400097          4 
       80       126  -0.001234  0.0098568  -0.001314  1.8343737          4 
